month,C,M,yoy_tw_revenue,decision,ruleA,ruleB,ruleM
2008-02-01,0.4012643217846382,,0.08376006602382224,2008-03-16,False,True,True
2008-03-01,0.6405383255779649,,0.1207650190924594,2008-04-16,False,True,True
2008-04-01,0.6132204358896238,,0.11924388508269024,2008-05-16,False,True,True
2008-05-01,0.5304393767922386,0.1291750550076004,0.10944051071558114,2008-06-16,True,True,True
2008-06-01,0.793427288488304,0.15288896291033915,0.14905938657900064,2008-07-16,True,True,True
2008-07-01,0.9128829233729712,0.29966248748334734,0.1695887551006685,2008-08-16,True,True,True
2008-08-01,0.6866873624866779,0.15624798569443932,0.14100411411440383,2008-09-16,True,True,True
2008-09-01,0.858195271350779,0.06476798286247498,0.1676438091387651,2008-10-16,True,True,True
2008-10-01,0.6884081902246659,-0.22447473314830524,0.14690983091351506,2008-11-16,False,True,False
2008-11-01,0.5599251538065968,-0.12676220868008115,0.1312195088484014,2008-12-16,False,True,False
2008-12-01,-0.4459724987314222,-1.3041677700822012,-0.003063794467428327,2009-01-16,False,False,True
2009-01-01,-1.6227702973980298,-2.311178487622696,-0.16917539148756233,2009-02-16,False,False,True
2009-02-01,-1.8705538966200108,-2.430479050426608,-0.2201367705796652,2009-03-16,False,False,True
2009-03-01,-1.5241422733611745,-1.0781697746297523,-0.18209654969953226,2009-04-16,False,False,True
2009-04-01,-1.1519990887749196,0.47077120862311017,-0.13430066419025832,2009-05-16,False,False,True
2009-05-01,-1.2719124396437023,0.5986414569763086,-0.1579890980912826,2009-06-16,False,False,True
2009-06-01,-1.5036441045908366,0.020498168770337832,-0.20107514682114958,2009-07-16,False,False,True
2009-07-01,-1.0555540147276314,0.09644507404728819,-0.1392599741278413,2009-08-16,False,False,True
2009-08-01,-0.7153716230862569,0.5565408165574454,-0.09100507024623894,2009-09-16,False,False,True
2009-09-01,-0.02601811144550519,1.4776259931453315,0.0100614071930345,2009-10-16,False,False,True
2009-10-01,0.3404282470751559,1.3959822618027873,0.063792266140694,2009-11-16,True,True,True
2009-11-01,1.1911243182133209,1.906495941299578,0.19060687546734778,2009-12-16,True,True,True
2009-12-01,1.8344663085266848,1.86048441997219,0.29706536009270623,2010-01-16,True,True,True
2010-01-01,2.435258612885162,2.094830365810006,0.41673061029187863,2010-02-16,True,True,True
2010-02-01,2.2430047940866196,1.0518804758732987,0.41138031879194115,2010-03-16,True,True,True
2010-03-01,2.119124594295048,0.2846582857683633,0.41266678188567596,2010-04-16,True,True,True
2010-04-01,2.075468944346355,-0.3597896685388067,0.42603404555788016,2010-05-16,False,True,False
2010-05-01,2.4194132640409167,0.17640846995429715,0.5200880333508089,2010-06-16,True,True,True
2010-06-01,2.3245904100493173,0.20546581575426925,0.5323922567928723,2010-07-16,True,True,True
2010-07-01,1.693405273419494,-0.3820636709268612,0.4210338958746003,2010-08-16,False,True,False
2010-08-01,1.5287085207865025,-0.8907047432544142,0.3979842480123932,2010-09-16,False,True,False
2010-09-01,1.3389839759618178,-0.9856064340874995,0.3665955080872836,2010-10-16,False,True,False
2010-10-01,1.271716770201342,-0.4216885032181519,0.3591423801905822,2010-11-16,False,True,False
2010-11-01,0.9850639149820256,-0.5436446058044769,0.30357460094429833,2010-12-16,False,True,False
2010-12-01,0.4952267736990984,-0.8437572022627194,0.2035684770486148,2011-01-16,False,True,False
2011-01-01,0.41932434670846264,-0.8523924234928795,0.18886420982756102,2011-02-16,False,True,False
2011-02-01,-0.18151690495345046,-1.1665808199354761,0.06622546678987584,2011-03-16,False,False,True
2011-03-01,-0.5561983992386637,-1.051425172937762,-0.010640131483287685,2011-04-16,False,False,True
2011-04-01,-0.8960502278087401,-1.3153745745172027,-0.08153321675206815,2011-05-16,False,False,True
2011-05-01,-0.9831892109372891,-0.8016723059838387,-0.1021486694602568,2011-06-16,False,False,True
2011-06-01,-1.0063768133986668,-0.45017841416000315,-0.11004480240021064,2011-07-16,False,False,True
2011-07-01,-0.9785343677976874,-0.08248413998894732,-0.10748502379009206,2011-08-16,False,False,True
2011-08-01,-0.625267451102354,0.357921759834935,-0.038018496866860985,2011-09-16,False,False,True
2011-09-01,-0.4553779267572092,0.5509988866414577,-0.0049511219958210395,2011-10-16,False,False,True
2011-10-01,-0.31562099294590834,0.662913374851779,0.02225325298317382,2011-11-16,False,False,True
2011-11-01,-0.6121725738251863,0.013094877277167738,-0.03736009269777141,2011-12-16,False,False,True
2011-12-01,-0.3069023000049765,0.1484756267522327,0.022013072584551763,2012-01-16,False,False,True
2012-01-01,-0.21902610732610844,0.0965948856197999,0.03881217421929106,2012-02-16,False,False,True
2012-02-01,1.024275785511914,1.6364483593371002,0.28216605832226893,2012-03-16,True,True,True
2012-03-01,1.2330527146028623,1.5399550146078387,0.3268066040793107,2012-04-16,True,True,True
2012-04-01,1.3426504812577325,1.5616765885838408,0.3532002780194581,2012-05-16,True,True,True
2012-05-01,0.49321762227903226,-0.5310581632328817,0.1880484072192119,2012-06-16,False,True,False
2012-06-01,0.36019037360820105,-0.8728623409946612,0.1627127012653613,2012-07-16,False,True,False
2012-07-01,0.3913232916384712,-0.9513271896192612,0.16929587864029805,2012-08-16,False,True,False
2012-08-01,0.06137764970819834,-0.43183997257083395,0.10596923387014656,2012-09-16,False,True,False
2012-09-01,-0.34453366338788194,-0.704724036996083,0.028009711110032143,2012-10-16,False,False,True
2012-10-01,-0.6582025604661117,-1.049525852104583,-0.03266324900019191,2012-11-16,False,False,True
2012-11-01,-0.6018895712631905,-0.6632672209713889,-0.02297544362007309,2012-12-16,False,False,True
2012-12-01,-1.0624037773910184,-0.7178701140031365,-0.11238750018743726,2013-01-16,False,False,True
2013-01-01,-0.9228617975276865,-0.2646592370615748,-0.08804696503011711,2013-02-16,False,False,True
2013-02-01,-1.4230313505108236,-0.8211417792476331,-0.18726532747266056,2013-03-16,False,False,True
2013-03-01,-0.7698004816274785,0.29260329576353994,-0.06478022459268595,2013-04-16,False,False,True
2013-04-01,-0.5608339930149568,0.36202780451272965,-0.026065666972894586,2013-05-16,False,False,True
